Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C5",0603,4,100n,
C4,0603,1,470n,
"C6, C7",0603,2,1u,
D1,D_SOD-323_HandSoldering,1,BAT60BE6359HTMA1,
D2,0603,1,TXLED,
D3,0603,1,RXLED,
D4,SOT-23-6,1,ESDA6V1BC6,
FB1,0603,1,100R @ 100MHz,
J1,USB_A_Molex_48037-2200_Horizontal,1,USB_A,
J2,5037630491,1,UART,
"R1, R2",0603,2,27R,
"R3, R4",0603,2,10k,
"R5, R6",0603,2,330R,
U1,SOT-23-6,1,USBLC6-2SC6,
U2,SOT-23-5,1,MIC5504-3.3YM5,
U3,QFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm,1,FT230XQ,
